Loan_ID,Year,Node_ID,Grade,Attribute1,Attribute2,Attribute3,Attribute4
120101,2010,20101,AA,0.6997312317,7.4371161036,0.6442422385,8.0883764635
120102,2010,20102,AA,4.0379914884,5.5719489621,0.1778353154,7.3877617943
120103,2010,20103,A,4.4111492418,0.929405802,0.2481466144,11.8952496404
120104,2010,20104,A,3.9504167041,9.0751130304,0.6739781312,19.9965460227
120105,2010,20105,B,4.5850986233,9.8669192795,0.2175089727,2.1419069968
120106,2010,20106,B,4.9662778374,3.8284535209,0.7661149587,3.7301364821
120107,2010,20107,C,1.6287681297,6.7753971833,0.9351827369,4.4181715677
120108,2010,20108,C,1.8897386583,0.0552840049,0.5791308743,19.5025116914
120109,2010,20109,C,4.9977035092,5.1463325091,0.3912668183,6.0248082177
1201010,2010,201010,D,0.4584086236,3.1223503368,0.7661978438,17.2109624352
1201011,2010,201011,D,3.248981768,2.4109097075,0.7725440774,7.0181115015
1201012,2010,201012,D,3.3945008894,3.2998558286,0.1203606288,14.0702304473
120111,2011,20111,AA,1.9601570521,1.0384791582,0.578729266,7.028952475
120112,2011,20112,AA,0.1191463215,0.9374293896,0.5835981197,12.2133260784
120113,2011,20113,A,4.0084115648,8.2853866479,0.1911436645,11.0658484886
120114,2011,20114,A,2.3633328551,0.1919008979,0.6666853578,7.3321770932
120115,2011,20115,B,2.022851474,9.4186966133,0.8544821208,2.7765811805
120116,2011,20116,B,2.8163613231,8.4834569216,0.7581186318,15.9353018797
120117,2011,20117,C,2.7244018244,8.3791786102,0.7891853552,3.2149521685
120118,2011,20118,C,1.7957768388,3.536284749,0.1393098775,9.9978559213
120119,2011,20119,C,3.1558835691,1.5226641655,0.4711590762,7.185701909
1201110,2011,201110,D,1.95432647,6.2751766343,0.1016200925,18.5175134124
1201111,2011,201111,D,4.9609132073,4.3498002023,0.4346160566,15.2431351888
1201112,2011,201112,D,3.4434970027,2.3207918598,0.4523955582,5.6569386838
120121,2012,20121,AA,4.5257844677,6.4481307397,0.4615659267,15.7480723204
120122,2012,20122,AA,3.2925432186,6.3275422264,0.1671524074,15.3251534835
120123,2012,20123,A,0.2121129525,1.5750327886,0.9447010863,10.0621223576
120124,2012,20124,A,3.6480148229,3.6488221437,0.0986177527,19.7417336548
120125,2012,20125,B,1.9842785699,8.904577173,0.656943622,4.0490000996
120126,2012,20126,B,0.916471487,1.5857218314,0.7402760305,17.4686757197
120127,2012,20127,C,3.7715573156,1.6004109708,0.3100372695,10.5442859092
120128,2012,20128,C,4.8226135531,9.6073786686,0.8953471828,14.4108810414
120129,2012,20129,C,1.6745157152,0.869887571,0.5001468847,17.6104146165
1201210,2012,201210,D,4.4000187181,1.3015737041,0.1576128891,1.5794612051
1201211,2012,201211,D,0.3691442183,0.5046529075,0.3670894182,8.2875660297
1201212,2012,201212,D,2.0266100258,2.6610095678,0.9773840426,2.8990152943
120131,2013,20131,AA,2.7388709965,8.2450720497,0.9761548826,19.7625013655
120132,2013,20132,AA,1.1730113323,9.174948738,0.9535620323,13.6488246411
120133,2013,20133,A,1.4608935725,8.0378748206,0.415910603,10.0505349585
120134,2013,20134,A,2.0117121545,7.5539690007,0.576711404,8.1825913901
120135,2013,20135,B,0.2429533875,8.9658227471,0.3585638244,4.7209236291
120136,2013,20136,B,1.2591683417,8.5192221654,0.906075369,13.7629739666
120137,2013,20137,C,0.9643611447,5.6826124667,0.4087224526,9.3600831871
120138,2013,20138,C,1.7841377093,9.8503044699,0.2886867298,12.9291091175
120139,2013,20139,C,3.2993233901,6.7416205722,0.7934293827,11.5824456374
1201310,2013,201310,D,4.5683136065,4.1267095934,0.197243246,8.7232217735
1201311,2013,201311,D,3.5068380224,4.8003023631,0.0480393229,7.5043474213
1201312,2013,201312,D,3.9844751099,9.4353039295,0.4928954099,7.7477854295
120141,2014,20141,AA,0.2140483642,4.3718513862,0.6353990958,1.1374087236
120142,2014,20142,AA,2.2094868435,3.9123640179,0.6697983488,8.305996309
120143,2014,20143,A,4.4476529615,7.5299606921,0.0748625712,12.6802437055
120144,2014,20144,A,4.4960598676,9.9950861488,0.453613023,14.2736998037
120145,2014,20145,B,2.7712420436,1.8270526183,0.2710692003,8.0961252541
120146,2014,20146,B,2.5365635239,9.4451736186,0.4578463953,0.4131630901
120147,2014,20147,C,4.9338437195,5.3950230717,0.5384473638,16.2767082666
120148,2014,20148,C,2.5755158452,0.3748511124,0.1614242639,18.1517568921
120149,2014,20149,C,0.0980987826,8.2319492909,0.0646903872,6.4489315081
1201410,2014,201410,D,1.7604663426,0.4024625406,0.9514711054,19.2639964552
1201411,2014,201411,D,3.199421399,1.5139597871,0.4063348403,5.6894198161
1201412,2014,201412,D,0.4874835298,5.6572618522,0.5081601259,8.07551026
120151,2015,20151,AA,0.8767711099,8.6790843621,0.3433341582,6.2742382558
120152,2015,20152,AA,2.9913975358,8.6489719018,0.9957624196,13.5911234966
120153,2015,20153,A,0.9175343953,0.3231347674,0.2135869308,0.1970444115
120154,2015,20154,A,1.4115423516,6.466683256,0.4126836797,2.0640330474
120155,2015,20155,B,3.1854699185,5.6954296479,0.1892763554,18.6852442613
120156,2015,20156,B,0.3128272005,7.5521017836,0.9336119891,0.4368558199
120157,2015,20157,C,3.5030401069,2.7103092096,0.7082258734,12.8936191285
120158,2015,20158,C,4.6342255561,1.9389116866,0.5199313351,13.4904396219
120159,2015,20159,C,1.5930448733,5.4691336685,0.0748039627,3.1715055679
1201510,2015,201510,D,1.6280247601,6.1569078663,0.511078137,4.3598795386
1201511,2015,201511,D,2.4802790163,3.4875658818,0.4134343323,14.6387070091
1201512,2015,201512,D,3.8240921204,0.9114538929,0.7360656965,19.4288348362
