leaf,Amount_Borrowed,Predict_Return,Actual_Return,Predict_Sd,Year,Node_ID
5,695475,0.0642732606,0.0726415612,0.0033917488,2010,20105
6,605674,0.1052827525,0.2008597566,0.0082568486,2010,20106
12,220749,0.0342566333,0.123617855,0.0514709268,2010,201012
13,164606,-0.0061234019,0.0042972272,0.0751686632,2010,201013
14,479634,0.0652440214,0.0874134323,0.0039678436,2010,201014
15,226092,-0.0157651624,0.0808936358,0.0860276825,2010,201015
22,279000,0.0268544575,0.0690055772,0.0449910243,2010,201022
26,319434,0.0585482083,0.0964005476,0.0388391673,2010,201026
27,240328,0.0855986126,0.1378379386,0.0040766734,2010,201027
29,256097,0.0640226906,0.0755068809,0.0029511577,2010,201029
30,429910,0.0323625219,0.0497441076,0.0605630856,2010,201030
31,314926,0.081741345,0.1134422664,0.0193584988,2010,201031
33,448430,0.0703427477,0.1025829624,0.0309306824,2010,201033
34,488765,0.0924387077,0.0704250634,0.0186823414,2010,201034
36,351200,0.0590540948,0.0839868008,0.0485704661,2010,201036
37,367335,0.0216621108,0.1245801176,0.078297525,2010,201037
39,467986,0.0015620875,0.0396262533,0.071350232,2010,201039
41,433875,0.0762745263,0.0393346706,0.0116526509,2010,201041
42,547078,0.0299571803,0.094672465,0.0389610737,2010,201042
46,551302,0.0668704375,0.0646092454,0.003160142,2010,201046
47,626209,0.042950435,0.0891616312,0.0142401489,2010,201047
50,353943,0.1045599348,0.132953438,0.0077474098,2010,201050
52,226750,0.0768071033,0.1694520907,0.0570773234,2010,201052
54,242427,0.0820724749,0.1139349878,0.0133216956,2010,201054
55,200977,0.1097199311,0.1655759602,0.0071625618,2010,201055
57,273210,0.0330287244,0.1674657566,0.061921039,2010,201057
58,275516,0.0961699319,0.1277412745,0.0243079726,2010,201058
59,294196,0.0347553894,0.1139660457,0.0367409351,2010,201059
61,522290,-0.0031690915,0.059813036,0.0460972354,2010,201061
67,276168,0.0193244354,0.0936252443,0.0551400621,2010,201067
68,274700,0.0706380961,0.1371127983,0.0133677455,2010,201068
69,819856,-0.0021156128,0.1073250061,0.0672209785,2010,201069
73,618648,0.075341185,0.0885683569,0.005880474,2010,201073
75,855523,0.0684046966,0.0693480954,0.0163150384,2010,201075
76,260200,0.0318836915,0.1084485767,0.0375532294,2010,201076
77,562646,0.0258149614,0.0981308596,0.0463091979,2010,201077
78,673825,0.0805707022,0.0627754818,0.0057964544,2010,201078
81,800756,0.0697764992,0.070982255,0.0140006406,2010,201081
82,261099,0.099655654,0.1625006211,0.0302432056,2010,201082
83,499620,0.0530637414,0.0608948775,0.0260699496,2010,201083
84,377337,0.0065967869,0.1921798605,0.0630065866,2010,201084
87,353300,0.036296261,0.0846335666,0.0295110893,2010,201087
88,491534,0.0639560968,0.0894076389,0.0175773752,2010,201088
90,288235,-0.0330838629,0.1115160885,0.079547339,2010,201090
91,237862,0.026597208,0.1069443419,0.0608054403,2010,201091
94,679980,0.0199753345,0.0835924564,0.0671090559,2010,201094
97,299750,0.0423899738,0.0165552846,0.058120172,2010,201097
98,684576,0.0848433359,0.0997141696,0.0262905181,2010,201098
99,338970,0.0202517582,0.0654079837,0.0447568641,2010,201099
101,147100,-0.0958441841,0.0845655277,0.0974484426,2010,2010101
102,380752,-0.0117211102,0.0863288874,0.079643406,2010,2010102
106,96899,0.1117000767,0.2675027036,0.0064035685,2010,2010106
107,91450,0.1274701328,0.2451229724,0.0087118897,2010,2010107
108,37450,0.0631613261,0.1335314617,0.060778632,2010,2010108
112,15100,-0.0988522128,-0.119309912,0.0915886154,2010,2010112
113,26700,-0.002950385,-0.1667278431,0.0840666201,2010,2010113
118,57553,0.0219840736,0.1013570934,0.0406366369,2010,2010118
119,61100,0.062721743,0.0387092174,0.063360683,2010,2010119
120,38750,-0.0324122822,0.1456318926,0.0791621079,2010,2010120
123,16400,0.0674337614,0.07501278,0.0546058378,2010,2010123
124,23800,0.0926240462,0.0556513361,0.0298169149,2010,2010124
128,45949,0.0405612465,0.231583329,0.0578391558,2010,2010128
129,76040,-0.030122846,0.2235214472,0.0860401923,2010,2010129
130,67035,0.070606747,0.2381611387,0.0250145806,2010,2010130
131,114925,0.0750711209,0.2354834753,0.0510484852,2010,2010131
134,29515,0.0741391671,0.1552880625,0.0354360522,2010,2010134
135,98900,0.0054947974,0.1976566386,0.0835712424,2010,2010135
138,48800,0.073433372,0.2518284568,0.0442357754,2010,2010138
140,69550,-0.0354145637,0.1556700229,0.0725315603,2010,2010140
141,53400,0.0483561393,0.1496941834,0.0579645834,2010,2010141
144,57350,-0.146420686,0.0887300097,0.0816825047,2010,2010144
145,39525,-0.0295590859,0.2574150059,0.0698633893,2010,2010145
147,85885,0.0407468156,0.142050239,0.056230773,2010,2010147
150,70715,-0.0021338552,0.1633570398,0.0691581834,2010,2010150
151,50450,-0.1427465715,0.2633034488,0.0696371381,2010,2010151
153,38499,0.052476925,0.235056469,0.0502753551,2010,2010153
155,127445,-0.060983504,0.1696376864,0.0711228022,2010,2010155
157,104900,0.0590876162,0.2218164413,0.058997003,2010,2010157
158,64850,-0.022179644,0.2459806068,0.0623173757,2010,2010158
161,23200,-0.1411340106,0.1192503541,0.0697080208,2010,2010161
169,10000,0.0668061253,0.1359927254,0.0296288213,2010,2010169
170,54400,0.0183516961,0.2441821045,0.07582807,2010,2010170
173,18550,-0.0255990751,0.1593153566,0.0651554944,2010,2010173
174,28500,0.0518071751,0.2747924016,0.0714886511,2010,2010174
175,43000,-0.0616528214,0.1070955887,0.0769204484,2010,2010175
177,38700,-0.0063611187,0.0547810943,0.0599154465,2010,2010177
178,29000,-0.102507216,0.249975072,0.086897191,2010,2010178
179,45900,0.0639335488,0.2295273307,0.0442718361,2010,2010179
181,73400,0.0904533794,0.2289918315,0.0507065495,2010,2010181
182,20400,0.0082140502,0.268720511,0.0691169393,2010,2010182
183,37800,-0.0569805371,0.2419841765,0.0712314997,2010,2010183
186,2250,-0.157511144,0.2914824676,0.0877533803,2010,2010186
187,17000,-0.0551363759,0.1231973533,0.0640490604,2010,2010187
188,51450,0.0088779235,0.2413055484,0.0622064555,2010,2010188
191,104950,-0.0590657873,0.0977277282,0.0872904138,2010,2010191
193,29400,-0.1143454254,0.2417336724,0.0871888365,2010,2010193
194,37200,-0.22358509,0.2557796721,0.0859296026,2010,2010194
195,54800,-0.0257317524,0.212884639,0.0773489302,2010,2010195
